norm_name,name_examples,n_segments,n_events,prefs,domains
辰五郎の沢,辰五郎の沢林道,6,6,,
逆川幹,逆川幹線林道,6,6,,
郡田,林道郡田線,6,6,,
釈迦岳関谷釈迦岳,釈迦岳・関谷（釈迦岳）林道,6,6,,
里音別支,里音別支線林道,6,6,,
野々沢,野々沢林道,6,6,,
金屋尻別川,金屋尻別川林道,6,6,,
金時,林道金時線,6,6,,
銀蝶,銀蝶林道,6,6,,
長棟,長棟林道,6,6,,
長谷川,長谷川林道,6,6,,
阿寺タツガヒゲ阿寺,阿寺タツガヒゲ（阿寺）林道,6,6,,
雄柏中峰,雄柏中峰林道,6,6,,
青井沢,青井沢林道,6,6,,
青荷沢,青荷沢林道,6,6,,
青葉,青葉林道,6,6,,
馬追山,馬追山林道,6,6,,
高倉,林道高倉線 / 高倉林道,6,6,,
高桧能,高桧能林道,6,6,,
高知山,高知山林道,6,6,,
鬼ヶ煩鎌田鎌田,鬼ヶ煩・鎌田（鎌田）林道,6,6,,
鷹巣,鷹巣林道,6,6,,
黒井地支,林道　黒井地支線,6,6,,
黒沢西,林道黒沢西線,6,6,,
118林班,118林班林道,5,5,,
50号,50号林道,5,5,,
55メトセップ,55メトセップ林道,5,5,,
5の沢メトセップ支,5の沢メトセップ支線林道,5,5,,
5号の沢1の沢支,5号の沢林道1の沢支線,5,5,,
ふるさと川入,ふるさと林道川入線,5,5,,
イランダ,林道イランダ線,5,5,,
オオグナ,林道オオグナ線,5,5,,
オケゴヤ,オケゴヤ林道,5,5,,
オンネナイ,オンネナイ林道,5,5,,
カラ沢,カラ沢林道,5,5,,
クンネベツ2号,林道 クンネベツ2号線,5,5,,
コイボク,コイボク林道,5,5,,
コンピラ上の沢,コンピラ上の沢林道,5,5,,
シュータの沢,シュータの沢林道,5,5,,
シラン沢,シラン沢林道,5,5,,
スモモ沢,スモモ沢林道,5,5,,
タツニナイ,タツニナイ林道,5,5,,
タンネナイ,タンネナイ林道,5,5,,
チロロ左岸,チロロ左岸林道,5,5,,
ニイタップ支流,ニイタップ支流林道,5,5,,
ハサカ山,林道ハサカ山線,5,5,,
パイロット,パイロット線林道,5,5,,
パンケセタナイ支,パンケセタナイ支線林道,5,5,,
ペンケヨシモシ,ペンケヨシモシ林道,5,5,,
ペンケルペシュペペンケペタヌ支,ペンケルペシュペ林道 ペンケペタヌ支線,5,5,,
ポン左股支,ポン左股支線林道,5,5,,
ミツモチ八方,林道ミツモチ八方線,5,5,,
ムクロ沢,ムクロ沢林道,5,5,,
ムジナ1の沢,ムジナ林道1の沢線,5,5,,
ムジナ沢,ムジナ沢林道,5,5,,
モヘル,モヘル林道,5,5,,
ユートムラウシ第一支,ユートムラウシ第一支線林道,5,5,,
ユートムラウシ第五支,ユートムラウシ第五支線林道,5,5,,
レイサクベツ,レイサクベツ林道,5,5,,
一の渡,一の渡林道,5,5,,
一ツ梨,一ツ梨林道,5,5,,
一本杉峠,林道一本杉峠線,5,5,,
一線の沢,一線の沢林道,5,5,,
七瀬,林道七瀬線,5,5,,
万助ミダレ沢,万助ミダレ沢線林道,5,5,,
万勢山,林道万勢山線,5,5,,
三尾御崎,林道三尾御崎線,5,5,,
三沢大曲併用,三沢大曲併用林道,5,5,,
三河沢,林道三河沢線,5,5,,
三浦の沢,三浦の沢林道,5,5,,
上ノ国目名下の沢線小沢支,上ノ国目名下の沢線林道 小沢支線,5,5,,
上初尾間内,上初尾間内林道,5,5,,
上大沢,上大沢林道,5,5,,
上小沢,林道上小沢線,5,5,,
上手沢小鯨,林道上手沢小鯨線,5,5,,
上村団地,林道上村団地線,5,5,,
上狄川,上狄川林道,5,5,,
上股沢,上股沢林道,5,5,,
上芭露,上芭露林道,5,5,,
上里,上里林道 / 林道上里線,5,5,,
上野元三沢,林道上野元三沢線,5,5,,
上院内,上院内林道,5,5,,
下塩原新湯,林道下塩原・新湯線 / 林道下塩原新湯線,5,5,,
下折紙,下折紙林道,5,5,,
下春日,下春日林道,5,5,,
下柿沢,下柿沢林道,5,5,,
下正善寺,林道下正善寺線,5,5,,
下泉笹間,林道下泉笹間線,5,5,,
与喜屋赤宿,林道与喜屋赤宿線,5,5,,
両島上野,林道両島上野線,5,5,,
中の川九連山支,中の川林道 九連山支線,5,5,,
中之沢中之沢,中之沢（中之沢）林道,5,5,,
中小屋,中小屋林道 / 林道中小屋線,5,5,,
中尾,中尾林道 / 林道中尾線,5,5,,
中山3号,中山3号林道,5,5,,
中村,中村林道 / 林道中村線,5,5,,
中根,林道中根線,5,5,,
中楽古,中楽古林道,5,5,,
丹後縦貫;大鼓山,丹後縦貫林道;大鼓山線,5,5,,
久保田,林道久保田線,5,5,,
久栗坂,久栗坂林道,5,5,,
二又沢,二又沢林道,5,5,,
二手ノ又,二手ノ又林道,5,5,,
五味,林道五味線,5,5,,
五開茂倉,林道五開茂倉線,5,5,,
京ヶ峰,林道京ヶ峰線,5,5,,
京丸伊老沢,京丸（伊老沢）林道,5,5,,
京戸岩崎山,林道京戸岩崎山線,5,5,,
今庄池田,林道今庄池田線,5,5,,
今泉母沢,今泉母沢林道,5,5,,
今里羽黒山,林道今里羽黒山線,5,5,,
仙戸石,仙戸石林道,5,5,,
仙洞寺山,仙洞寺山林道,5,5,,
伊勢川,伊勢川林道,5,5,,
伊勢沢,伊勢沢林道,5,5,,
伊尾芦谷,林道伊尾芦谷線,5,5,,
休場谷,休場谷林道,5,5,,
佐倉美加登,林道佐倉美加登線,5,5,,
佐幌岳,佐幌岳林道,5,5,,
作沢,作沢林道,5,5,,
併用大東,併用林道 大東線,5,5,,
併用札久留枝間,併用林道札久留枝間線,5,5,,
併用白鳥,併用林道白鳥線,5,5,,
併用白鳥左林内,併用林道白鳥左林内線,5,5,,
俣落川本流,俣落川本流林道,5,5,,
元町南,林道元町（南）線,5,5,,
入の沢,入の沢林道,5,5,,
入山沢,入山沢林道 / 林道入山沢線,5,5,,
入町～長尾,林道　入町～長尾線,5,5,,
八原谷,林道八原谷線,5,5,,
八日見,林道八日見線,5,5,,
八溝,八溝林道 / 林道八溝線,5,5,,
八高山,林道八高山線,5,5,,
冬住,冬住林道,5,5,,
冷川,冷川林道,5,5,,
冷水沢,冷水沢林道,5,5,,
前日光ハイランド,林道前日光ハイランド線,5,5,,
割沢,割沢林道,5,5,,
勝呂入山,林道勝呂入山線,5,5,,www.pref.saitama.lg.jp
北五条,北五条林道,5,5,,
北山本,林道北山本線,5,5,,
北川正丸,林道北川正丸線,5,5,,
北滝,林道北滝線,5,5,,
北紋,北紋林道,5,5,,
北股,北股林道 / 林道北股線,5,5,,
北落合,北落合林道,5,5,,
十万石,十万石林道,5,5,,
十勝ヶ丘,林道十勝ヶ丘線,5,5,,
十層,十層林道,5,5,,
千ヶ沢,林道千ヶ沢線,5,5,,
千枚岩,千枚岩林道,5,5,,
千沢,千沢林道 / 林道千沢線,5,5,,
千草支,千草支線林道,5,5,,
南の沢,南の沢林道,5,5,,
南木曽,南木曽林道,5,5,,
南葉高原,林道南葉高原線,5,5,,
厨川,厨川林道,5,5,,
口広,口広林道,5,5,,
古口,古口林道 / 林道古口線,5,5,,
古桧山,林道古桧山線,5,5,,
古桧峠,林道古桧峠線,5,5,,
古部才栗,林道古部才栗線,5,5,,
台ヶ峰,台ヶ峰林道,5,5,,
右股支,右股支線林道,5,5,,
合子,林道合子線,5,5,,
吉無田小谷側,吉無田林道（小谷側）,5,5,,
名田熊,林道名田熊線,5,5,,
和泉支,和泉支線林道,5,5,,
和泉管理,和泉管理林道,5,5,,
和留沢,林道和留沢線,5,5,,
咲別左岸2号,咲別左岸2号林道,5,5,,
唐風呂,唐風呂林道,5,5,,
国田山中,林道国田山中線,5,5,,
城間,林道城間線,5,5,,
堀内,堀内林道,5,5,,
塩水,林道 塩水線 / 林道塩水線,5,5,,
夏間木,夏間木林道,5,5,,
夕張岳,夕張岳林道,5,5,,
夕日山,夕日山林道 / 林道夕日山線,5,5,,
多々石,林道多々石線,5,5,,
夜明島,夜明島林道,5,5,,
大下名木山,林道大下名木山線,5,5,,
大丹波,林道 大丹波線 / 林道大丹波線,5,5,,
大久保山,大久保山林道 / 林道大久保山線,5,5,,
大仏,林道大仏線,5,5,,
大垂水,大垂水林道,5,5,,
大城,大城林道 / 林道大城線,5,5,,
大天狗,大天狗林道,5,5,,
大官山,大官山林道,5,5,,
大尾大日山,林道大尾大日山線,5,5,,
大島沢,林道大島沢線,5,5,,
大川上,林道大川上線,5,5,,
大巻沢,大巻沢林道,5,5,,
大平山,大平山林道,5,5,,
大日向,林道大日向線,5,5,,
大杉沢,大杉沢林道,5,5,,
大東,大東線林道 / 林道大東線,5,5,,
大河原,大河原林道 / 林道大河原線,5,5,,
大瀬栗生,林道大瀬栗生線,5,5,,
大窪鶯宿,林道大窪鶯宿線,5,5,,
大茂内,大茂内林道,5,5,,
大荒川,大荒川林道,5,5,,
大規模真室川小国,大規模林道真室川小国線,5,5,,
大野,大野林道 / 林道大野線,5,5,,
大野沢,林道大野沢線,5,5,,
天狗岩,天狗岩林道 / 林道天狗岩線,5,5,,
奈田良,林道奈田良線,5,5,,
奔別右股,奔別右股林道,5,5,,
奥武蔵1号,林道奥武蔵1号線,5,5,,
女那川,女那川林道,5,5,,
子持山,子持山林道,5,5,,
存ぎょう,林道存ぎょう線,5,5,,
宇嘉,宇嘉林道,5,5,,
宇美12支,宇美林道12支線,5,5,,
安戸山,安戸山林道,5,5,,
定義,定義林道,5,5,,
宝達新宮,林道宝達新宮線,5,5,,
室の沢日向,林道室の沢日向線,5,5,,
寒風沢併用,寒風沢併用林道,5,5,,
寺ノ沢,寺ノ沢林道,5,5,,
小ヶ倉,小ヶ倉林道,5,5,,
小佐渡２号,林道小佐渡２号線,5,5,,
小又池ノ郷,林道小又池ノ郷線,5,5,,
小又沢,小又沢林道,5,5,,
小屋～広川原,林道小屋～広川原線,5,5,,
小岱倉,小岱倉林道,5,5,,
小川南部沢線笹口の沢支線細沢分,小川南部沢線林道 笹口の沢支線細沢分線,5,5,,
小惣辺,小惣辺林道,5,5,,
小易国間,小易国間林道,5,5,,
小桧曽,小桧曽林道,5,5,,
小河内桑又,林道小河内桑又線,5,5,,
小荒川,小荒川林道,5,5,,
小野,林道小野線,5,5,,
小雨,林道小雨線,5,5,,
屋敷,屋敷林道,5,5,,
山倉,林道山倉線,5,5,,
山影,山影林道,5,5,,
山掴,林道山掴線,5,5,,
山田入,林道山田入線,5,5,,
岩倉,岩倉林道 / 林道岩倉線,5,5,,
岩城沢,岩城沢林道,5,5,,
岩壁,林道 岩壁線,5,5,,
岩舘檜枝岐,林道岩舘・檜枝岐線,5,5,,
島垣,林道島垣線,5,5,,
嵯峨塩深沢,林道嵯峨塩深沢線,5,5,,
川乗,林道川乗線,5,5,,
川向勲祢別,林道川向勲祢別線,5,5,,
川東支,川東支線林道,5,5,,
川流布,林道川流布線,5,5,,
左右内,林道・左右内線,5,5,,
左大ニ股,左大ニ股林道,5,5,,
布川,林道布川線,5,5,,
布引,林道 布引線,5,5,,
幌満左,幌満左林道,5,5,,
平川釜落,林道平川釜落線,5,5,,
平沢芹沢,林道平沢芹沢線,5,5,,
平滝,平滝林道,5,5,,
年川,年川林道,5,5,,
広久手,林道広久手線,5,5,,
広域基幹三河小田川,広域基幹林道 三河小田川線,5,5,,
広域基幹中里,広域基幹林道 中里線 / 広域基幹林道中里線,5,5,,
広域基幹曽家中西,広域基幹林道曽家中西線,5,5,,
広域基幹紫尾,広域基幹林道紫尾線,5,5,,
広域基線大当別,広域基線林道 大当別線,5,5,,
庶野沼の沢,林道 庶野沼の沢線,5,5,,
弥一郎,弥一郎林道,5,5,,
当勢和貫,林道 当勢和貫線,5,5,,
当勢大山,林道 当勢大山線,5,5,,
当望,当望林道,5,5,,
御岳線クリスタルライン,林道御岳線（クリスタルライン）,5,5,,
忍野明見,林道忍野明見線,5,5,,
志駒,林道志駒線,5,5,,
忠別,忠別林道,5,5,,
忠福,忠福林道,5,5,,
慈悲尾,林道慈悲尾線,5,5,,
成川,成川林道,5,5,,
我妻の沢オロエンの沢支,我妻の沢林道オロエンの沢支線,5,5,,
戸中山,戸中山林道,5,5,,
扇山大知波,扇山（大知波）林道,5,5,,
扇山本坂西,扇山（本坂西）林道,5,5,,
才ガ原,林道才ガ原線,5,5,,
折松,折松林道,5,5,,
折腰内併用,折腰内併用林道,5,5,,
提の沢,提の沢林道,5,5,,
支根刈,支根刈林道,5,5,,
敷舎内支線廃道,敷舎内支線林道(廃道),5,5,,
新地,新地林道,5,5,,
新田,新田林道 / 林道新田線,5,5,,
新興松川,林道新興松川線,5,5,,
日本製紙民,日本製紙林道（民）,5,5,,
日沢,日沢林道,5,5,,
早川石橋,林道早川石橋線,5,5,,
早稲川,早稲川林道,5,5,,
旭山沢越,旭山沢越林道,5,5,,
旭山狩布,旭山狩布林道,5,5,,
星ヶ塔,星ヶ塔林道,5,5,,
昼曽根小畑,林道昼曽根小畑線,5,5,,
更目木,更目木林道 / 林道更目木線,5,5,,
最上,林道最上線,5,5,,
朝里,朝里林道,5,5,,
木伏椿平,林道木伏椿平線,5,5,,
木滝,木滝林道,5,5,,
本戸前山,林道本戸前山線,5,5,,
本継,本継林道,5,5,,
朴ノ木,朴ノ木林道 / 林道朴ノ木線,5,5,,
東地蔵峠,東地蔵峠林道,5,5,,
東山田支,林道東山田支線,5,5,,
東新城,東新城林道,5,5,,
東股田瀬東股,東股田瀬林道（東股）,5,5,,
松倉,林道松倉線,5,5,,
松島,松島林道,5,5,,
松平,林道松平線,5,5,,
板割沢,板割沢林道,5,5,,
板小屋,板小屋林道 / 林道板小屋線,5,5,,
枝幸幌別,枝幸幌別林道,5,5,,
栃広,栃広林道,5,5,,
栗生,林道栗生線 / 栗生林道,5,5,,
根広,林道根広線 / 根広林道,5,5,,
根花併用,根花併用林道,5,5,,
桑又,林道桑又線,5,5,,
桑谷蒲郡線椿道,林道桑谷蒲郡線(椿道),5,5,,
桟敷山,林道桟敷山線,5,5,,
桧山,林道桧山線 / 桧山林道,5,5,,
桧川,桧川林道,5,5,,
梅川支,梅川支線林道,5,5,,
梅沢寸庭,林道梅沢寸庭線,5,5,,
椿,林道椿線,5,5,,
楚々木,林道楚々木線,5,5,,
楢戸沢,林道楢戸沢線,5,5,,
極入極入,極入（極入）林道,5,5,,
極楽峠,林道極楽峠線,5,5,,
槇谷,林道槇谷線,5,5,,
横川目兼,横川目兼林道,5,5,,
横道,林道横道線 / 横道林道,5,5,,
樺沢,樺沢林道,5,5,,
櫛ヶ峰,櫛ヶ峰林道,5,5,,
比志海岸寺,林道比志海岸寺線,5,5,,
毘砂別,毘砂別林道,5,5,,
水の戸,林道水の戸線,5,5,,
水明連絡,水明連絡林道,5,5,,
水根持方,林道水根持方線,5,5,,
水沢,水沢林道,5,5,,
水見色新間,林道水見色新間線,5,5,,
水道の沢,水道の沢林道,5,5,,
池の平線クリスタルライン,林道池の平線（クリスタルライン）,5,5,,
沼,林道沼線,5,5,,
沼沢,林道沼沢線 / 沼沢林道,5,5,,
法恩寺,林道法恩寺線,5,5,,
津川赤谷新谷川支線,津川赤谷（新谷川支線）林道,5,5,,
流岡田,林道流岡田線,5,5,,
浦雲泊,浦雲泊林道,5,5,,
海別,海別林道,5,5,,
海沢,林道海沢線,5,5,,
清水上湯川,林道清水上湯川線,5,5,,
清水股,清水股林道,5,5,,
清流,林道清流線,5,5,,
湯の川,湯の川林道,5,5,,
湯山,湯山林道,5,5,,
溝ノ口,林道溝ノ口線,5,5,,
滝谷,林道滝谷線 / 滝谷林道,5,5,,
漆峠,林道 漆峠線,5,5,,
漆沢,漆沢林道,5,5,,
濃昼川,濃昼川林道,5,5,,
瀬の沢,瀬の沢林道,5,5,,
無沢,無沢林道,5,5,,
熊倉,林道熊倉線 / 熊倉林道,5,5,,
熊追沢,熊追沢林道,5,5,,
片倉,林道片倉線,5,5,,
片刈石,片刈石林道,5,5,,
片浦,林道片浦線,5,5,,
狩宿,林道狩宿線 / 狩宿林道,5,5,,
狼ヶ城,狼ヶ城林道,5,5,,
猪ノ山谷,林道 猪ノ山谷線,5,5,,
猫越猫越分線,猫越（猫越分線）林道,5,5,,
猿沢,林道猿沢線 / 猿沢林道,5,5,,
琵琶首,琵琶首林道,5,5,,
田中工場の沢第一支,田中工場の沢林道第一支線 / 田中工場の沢林道第一支線林道,5,5,,
田取,林道田取線,5,5,,
田島舘岩Ⅰ,林道田島・舘岩Ⅰ線,5,5,,
田沢梨木楡沢,田沢（梨木楡沢）林道,5,5,,
田沢赤面,田沢（赤面）林道,5,5,,
田茂沢,田茂沢林道,5,5,,
甲子,林道甲子線 / 甲子林道,5,5,,
町道然別峡峰越線然別,町道 然別峡峰越線（然別林道）,5,5,,
番の沢,番の沢林道,5,5,,
登別加車山,登別加車山林道,5,5,,
白岩,林道白岩線 / 白岩林道,5,5,,
白桑山,林道白桑山線,5,5,,
白石三川三川,白石三川（三川）林道,5,5,,
白老岳,白老岳林道,5,5,,
白鳥マップ,林道白鳥マップ線,5,5,,
百古里,林道百古里線,5,5,,
相沼内小川,相沼内小川林道,5,5,,
相生4の沢,相生4の沢林道,5,5,,
県営御庵沢小武川,県営林道御庵沢小武川線,5,5,,
矢櫃沢,矢櫃沢林道,5,5,,
知名瀬,林道知名瀬線 / 知名瀬林道,5,5,,
知岱,知岱林道,5,5,,
石倉沢,石倉沢林道,5,5,,
石動山1号,林道石動山1号線,5,5,,
石川,石川林道,5,5,,
砂川,砂川林道,5,5,,
砥沢,砥沢林道,5,5,,
神の子,林道 神の子線,5,5,,
福戸平,林道福戸平線 / 福戸平林道,5,5,,
秋葉,林道秋葉線 / 秋葉林道,5,5,,
秋葉古道鳥倉,秋葉古道（鳥倉林道）,5,5,,
秩父,秩父林道,5,5,,
程窪,林道程窪線,5,5,,
立鉱の沢,立鉱の沢林道,5,5,,
第2丸山,第2丸山林道,5,5,,
笹川,笹川林道,5,5,,
築沢,築沢林道,5,5,,
紅葉川,紅葉川林道,5,5,,
紋別支,紋別支線林道,5,5,,
細崎入,細崎入林道,5,5,,
細野鹿留,林道細野鹿留線,5,5,,
継子岳胡桃島,継子岳（胡桃島）林道,5,5,,
緑資源幹線比和新庄線口和君田区間,緑資源幹線林道 比和新庄線 口和・君田区間,5,5,,
緑資源幹線若桜江府線三朝関金区間,緑資源幹線林道 若桜江府線 三朝・関金区間,5,5,,
美利別本流,美利別本流林道,5,5,,
美山,林道美山線,5,5,,
美幌,美幌林道,5,5,,
美流渡,美流渡林道,5,5,,
群馬坂,林道群馬坂線,5,5,,
老の沢,老の沢林道,5,5,,
老部川,老部川林道,5,5,,
肱谷,林道肱谷線,5,5,,
脇ノ山,脇ノ山林道,5,5,,
舜瞥,舜瞥線林道,5,5,,
舟原山滝ヶ洞上,舟原山滝ヶ洞（上）林道,5,5,,
芹ヶ沢,林道芹ヶ沢線,5,5,,
若松濁川,若松濁川林道,5,5,,
若栃椹谷下,若栃椹谷林道（下）,5,5,,
茂岩,茂岩林道,5,5,,
茂草大曲,茂草大曲林道,5,5,,
茗荷鹿又,茗荷（鹿又）林道,5,5,,
草牛馬登,林道 草牛馬登線,5,5,,
荒谷,林道荒谷線 / 荒谷林道,5,5,,
菅平,林道菅平線,5,5,,
菅野,林道菅野線,5,5,,
葉原,林道葉原線,5,5,,
藤倉沢東,藤倉沢（東）林道,5,5,,
蛇野蛇野,蛇野（蛇野）林道,5,5,,
表丹沢,表丹沢林道,5,5,,
西の又沢,西の又沢林道,5,5,,
西ノ沢,林道西ノ沢線 / 西ノ沢林道,5,5,,
西山田,林道西山田線,5,5,,
西岳,林道西岳線 / 西岳林道,5,5,,
西川,林道西川線 / 西川林道,5,5,,
西野川,西野川林道,5,5,,
要六沢阿蘇岩,林道 要六沢阿蘇岩線,5,5,,
覚生,覚生林道,5,5,,
角の沢,角の沢林道,5,5,,
角違,角違林道,5,5,,
譲羽,林道譲羽線,5,5,,
谷川,谷川林道,5,5,,
豊富,林道豊富線,5,5,,
貫通,貫通林道,5,5,,
贄川橋戸橋戸,贄川橋戸（橋戸）林道,5,5,,
赤久縄,林道赤久縄線,5,5,,
赤土,林道赤土線,5,5,,
赤坂,林道赤坂線 / 赤坂林道,5,5,,
赤城白樺,林道赤城白樺線,5,5,,
赤沼田上田俣上,赤沼田上田俣林道（上）,5,5,,
赤間の沢,赤間の沢林道,5,5,,
越路,林道越路線 / 越路林道,5,5,,
足柄久野,林道足柄久野線,5,5,,
足馴峠,林道足馴峠線,5,5,,
足駄山,足駄山林道,5,5,,
辰沢,林道辰沢線,5,5,,
近別第３支,近別第３支線林道,5,5,,
送毛,送毛林道,5,5,,
逆川,逆川林道,5,5,,
遊歩道越,遊歩道越林道,5,5,,
道の谷,林道道の谷線,5,5,,
道後山,林道道後山線,5,5,,
道海,道海林道,5,5,,
重兵衛,重兵衛林道,5,5,,
野々古川又,林道野々古川又線,5,5,,
野々沢2号,野々沢2号林道,5,5,,
野川風越,林道野川風越線,5,5,,
野添下山,林道野添下山線,5,5,,
野牛山,野牛山林道,5,5,,
野田生中二股,野田生中二股林道,5,5,,
野路山,林道野路山線 / 野路山林道,5,5,,
野辺沢,林道野辺沢線 / 野辺沢林道,5,5,,
金尾別,金尾別林道,5,5,,
金山沢,金山沢林道,5,5,,
金木山,金木山林道,5,5,,
金沢,金沢林道,5,5,,
釜沢,林道釜沢線,5,5,,
釜無山,林道釜無山線,5,5,,
釧勝峠,釧勝峠林道,5,5,,
鈴ヶ沢,林道鈴ヶ沢線 / 鈴ヶ沢林道,5,5,,
銀蝶支,銀蝶支線林道,5,5,,
銅鉱沢,銅鉱沢林道,5,5,,
鍋越沢,鍋越沢林道,5,5,,
鍛冶内磯上,林道鍛冶内磯上線,5,5,,
長倉山併用,長倉山併用林道,5,5,,
長和併用,長和併用林道,5,5,,
関ヶ沢,林道関ヶ沢線 / 関ヶ沢林道,5,5,,
闇川,林道闇川線,5,5,,
阿多野郷,阿多野郷林道,5,5,,
阿木恵那,阿木恵那林道,5,5,,
隈戸,隈戸林道,5,5,,
雄内支,雄内支線林道,5,5,,
雨降山,林道雨降山線,5,5,,
雨霧,雨霧林道,5,5,,
雷山,雷山林道,5,5,,
青北,林道 青北線,5,5,,
青木,林道青木線 / 青木林道,5,5,,
音羽山,林道音羽山線,5,5,,
風来沢,林道風来沢線,5,5,,
駅停沢,林道駅停沢線,5,5,,
駒ヶ原裏谷,駒ヶ原裏谷林道,5,5,,
高丘越,林道 高丘越線,5,5,,
高岩,林道高岩線,5,5,,
高時山,高時山林道,5,5,,
高沢,高沢林道,5,5,,
高泉,高泉林道,5,5,,
高浪,林道高浪線,5,5,,
高畑,林道高畑線,5,5,,
鰍沢,林道鰍沢線,5,5,,
鳥居,鳥居林道,5,5,,
鳥居川戸隠,鳥居川戸隠林道,5,5,,
鳥居沢,林道鳥居沢線 / 鳥居沢林道,5,5,,
鳥屋森山水無沢,鳥屋森山（水無沢）林道,5,5,,
鳥沢,鳥沢林道,5,5,,
鵡川左岸,鵡川左岸林道,5,5,,
鶴子,鶴子林道,5,5,,
黒石御岳,黒石（御岳）林道,5,5,,
27線沢,27線沢林道,4,4,,
3165～3166林班,3165～3166林班林道,4,4,,
3242～3255林班,3242～3255林班林道,4,4,,
97林班,97林班林道,4,4,,
せせらぎ,せせらぎ林道,4,4,,
ふるさと,ふるさと林道,4,4,,
ふるさと阿多粕西洞線,ふるさと林道（阿多粕西洞線）,4,4,,
アオベラ,アオベラ林道,4,4,,
イショッポ,林道イショッポ線,4,4,,
イタツゴ谷,林道イタツゴ谷線,4,4,,
ウエンザル本流,ウエンザル本流林道,4,4,,
ウエンベツ町道ウエンベツ線,ウエンベツ林道 ( 町道ウエンベツ線 ),4,4,,
エイコの沢,エイコの沢林道,4,4,,
エホロカンベツ,エホロカンベツ林道,4,4,,
オチャラベツ,オチャラベツ林道,4,4,,
カルシュナイ,カルシュナイ林道,4,4,,
キリフネ路面決壊,キリフネ林道(路面決壊),4,4,,
クッタラショコツ,クッタラショコツ林道,4,4,,
クテクンナイ,クテクンナイ林道,4,4,,
サンナコロ,サンナコロ林道,4,4,,
シュキップベツ,シュキップベツ林道,4,4,,
シュッタ16号,シュッタ16号林道,4,4,,
スズガタ,スズガタ林道,4,4,,
タイラ沢,タイラ沢林道,4,4,,
タモギタイ,タモギタイ林道,4,4,,
チヌフク,チヌフク林道,4,4,,
ツプタナイ,ツプタナイ林道,4,4,,
ナメリ沢,ナメリ沢林道,4,4,,
ニノ倉山,林道ニノ倉山線,4,4,,
ヌタクヤンベ,ヌタクヤンベ林道,4,4,,
ヌプタップ,ヌプタップ林道,4,4,,
パナクシュベツ,パナクシュベツ林道,4,4,,
パンケホロナイ,パンケホロナイ林道,4,4,,
ヒジの沢,ヒジの沢林道,4,4,,
ビングシ,ビングシ林道,4,4,,
ブルドーザー道,ブルドーザー道,4,4,,
ベロ沢,ベロ沢林道,4,4,,
ペーメン,ペーメン林道,4,4,,
ホロナイップ,ホロナイップ林道,4,4,,
ポンルル２号,ポンルル２号林道,4,4,,
ポン由仁石狩,ポン由仁石狩林道,4,4,,
マスの沢,マスの沢林道,4,4,,
マダラ沢,マダラ沢林道,4,4,,
一ツ森,一ツ森林道,4,4,,
一色,一色林道,4,4,,
七ツ久保,七ツ久保林道,4,4,,
万助沢,万助沢林道,4,4,,
三の谷,三の谷林道,4,4,,
三ノ又沢,三ノ又沢林道,4,4,,
三井の沢,三井の沢林道,4,4,,
三区川向,林道三区川向線,4,4,,
三右エ門沢,三右エ門沢林道,4,4,,
三国,三国林道 / 林道三国線,4,4,,
三岩五の沢,三岩五の沢林道,4,4,,
三方山,三方山林道,4,4,,
三本股本,三本股本線林道,4,4,,
三株,三株林道 / 林道三株線,4,4,,
三角山,三角山林道,4,4,,
上ソコベ沢,上ソコベ沢林道,4,4,,
上二股,上二股林道,4,4,,
上声問,上声問林道,4,4,,
上大峰,上大峰林道,4,4,,
上幌加,上幌加林道,4,4,,
上楠川東,上楠川東林道,4,4,,
上武利ペナクシル,上武利林道ペナクシル線,4,4,,
上田山,上田山林道,4,4,,
上野原,林道 上野原線 / 林道上野原線,4,4,,
下の沢,下の沢林道 / 林道下の沢線,4,4,,
下伊勢畑,下伊勢畑林道,4,4,,
下小又,下小又林道,4,4,,
下山森戸沢,林道下山森戸沢線,4,4,,
下平,林道下平線,4,4,,
下福山,下福山林道,4,4,,
下福山左岸,下福山左岸林道,4,4,,
不二川,不二川林道,4,4,,
与部沢,与部沢林道,4,4,,
中の又,中の又林道,4,4,,
中の松,中の松林道,4,4,,
中の股,中の股林道,4,4,,
中の谷,中の谷林道,4,4,,
中ノ俣,林道中ノ俣線,4,4,,
中ノ沢,中ノ沢林道,4,4,,
中ノ沢併用,中ノ沢併用林道,4,4,,
中久著呂,林道中久著呂線,4,4,,
中坪川,中坪川林道,4,4,,
中幌糠,中幌糠林道,4,4,,
中津原,林道中津原線,4,4,,
中田付,中田付林道,4,4,,
中茂,中茂林道,4,4,,
中野湯の沢,中野湯の沢線林道,4,4,,
丸森,丸森林道,4,4,,
丹原,林道丹原線,4,4,,
主谷,主谷林道,4,4,,
久保向,林道久保向線,4,4,,
久吉,久吉林道,4,4,,
久百々,久百々林道,4,4,,
久能沢,林道 久能沢線,4,4,,
久野川,久野川林道,4,4,,
乗附,林道乗附線,4,4,,
乙次郎貝ノ坂,乙次郎（貝ノ坂）林道,4,4,,
乙部関内ハシゴ沢支,乙部関内林道 ハシゴ沢支線,4,4,,
九線沢,九線沢林道,4,4,,
二又,二又林道,4,4,,
二合目,二合目林道,4,4,,
二子山,林道二子山線,4,4,,
二本杉,二本杉林道,4,4,,
二間手〜水沢上,林道二間手〜水沢上線,4,4,,
